f_hz,mag,phase_deg,stim_amps
64.11498140364886,1.8865939265013385,2.3608873515567788,0.00453554212458404
61.73690872703245,1.9079649148786866,4.356991901605168,0.0053393748444966185
60.33210115711756,2.144680682008963,4.678991535732991,0.003752273973094477
65.81662554385593,2.1415564905213618,-2.0534777645422175,0.003969157289070322
61.2495296310097,2.1170132607028678,2.7141172217795515,0.003664712117043476
67.10871191262852,2.0402362212920018,2.12880046475633,0.004443850792049409
65.71661211493405,2.1231140380992075,4.111799220697313,0.004079053150601337
60.78703141080012,1.942584444848319,-2.960994630219777,0.0037185450185520654
66.85639729362398,2.1949805335505745,6.1943617986921495,0.0035669700119962257
60.59168851801702,2.263306370552139,4.878984200618439,0.0033943334076295935
64.7480411094644,1.7108440482382241,1.3010845079703979,0.0033277323574881644
62.49084490661503,1.9028665860197926,-2.9317022621166604,0.0030519277582966003
66.27553247566867,1.9689323686435214,-0.4650648784164242,0.0038943620830320805
63.75097594930377,2.181239241038975,2.0861431763372784,0.00391245670672667
65.08720172233235,2.366431180125889,1.9929878710708713,0.002794986074179481
63.096458454160995,1.8122857982038596,2.806761847479132,0.0037834490252320785
66.62683455970121,2.2780704923563024,3.0294988163631196,0.003748976438872501
61.72584009551028,1.7008179762136864,7.472087066518872,0.005265492352352446
72.6285355453498,2.055821709371626,-1.1666017302712914,0.0032296723209502337
67.1730694063156,1.9462306761689576,4.646445210433957,0.00353398829468739
71.84014446365335,1.7496505014988821,-3.390576726250906,0.0035178523674982724
66.35614716051069,1.9592318317414195,3.5519895137136945,0.00472314700822358
63.241899722740534,1.8490216928251384,-1.6549227249930272,0.005276961601154197
64.79778713241991,2.1124266971464216,1.3709575400394383,0.003967941896168132
66.46620179068896,2.211615307296148,0.3445467895959252,0.003031098205983885
62.980631306507966,1.93207593922168,4.407250851831157,0.00400099417643444
66.3427958401683,1.9808585948566806,-0.9141956707191775,0.0037332165603362437
64.40885641610559,2.1376158036243167,8.603362171574666,0.004433619407111918
69.20140184127305,1.8575647380563554,-0.36290097687885897,0.004515207923065014
67.71286273073139,1.9106207296750746,0.7102846432566817,0.004316834890741589
62.20029551121567,1.7917472856448375,-1.2420064447003558,0.004575767233643975
65.34587431446656,2.0038156201786705,11.210800541106591,0.0037572049688894744
61.39303280991693,2.017451339932509,6.2493721720213165,0.0037699698258956897
66.06495670385925,1.9473765469833435,9.148180996058874,0.0036648584018920214
68.87653666510555,2.2358572450488277,2.8035330847894353,0.0029592167277724983
66.6244630073975,2.0110733236735627,-0.6678974300774819,0.005180188189128315
62.1603022061623,2.101610064485907,-1.5885256175786868,0.00412201463066336
65.37692714270096,1.7979858474288484,-3.183172364566032,0.004685020631451995
63.996157000318675,2.0437994000731097,3.909123484362074,0.004104889491049691
60.250845950698434,2.144900801429905,-8.628311392468882,0.003862983115041357
67.00984106801423,1.9449162785719136,1.352558957741553,0.004194349381494111
62.238988026055154,2.1258823598883723,-9.482199804508543,0.0040739330072386585
69.78765170870878,2.088370098334898,4.9772036093139,0.004182248678503335
63.216445446963306,2.1880220698315718,-6.584106880879155,0.003945129457942136
64.52615891881959,2.098019776655307,1.7351380354358965,0.003908904319986873
66.20075094208015,2.1080508879992528,5.488086806424527,0.003295339011109532
60.602937199383376,1.6680841668432649,-4.493340869509071,0.004162788818280339
62.57736707165505,1.7227180512055205,-3.8885368777787304,0.003466019941518655
63.88692238629241,1.9002435661573915,4.477182990397543,0.00545418621864643
101.14333580454229,2.02565641887844,-0.006177953910163721,11.030601634367153
200.6604404451442,2.0257104281590936,-0.01098234810740248,10.952598470910575
499.72997859972503,2.0258358002100842,-0.028734589319534553,10.973619878022483
1000.1234921739435,2.025806965262603,-0.06031156249012544,10.974644774203348
2000.209372314734,2.0257491107349446,-0.12108607008561532,10.972050560151922
4999.944981345324,2.025365859779663,-0.3017808966312913,10.965533833868335
10000.856460712728,2.024290583586375,-0.5869448299392523,5.568289410430535
20000.109199040384,2.021628978865566,-1.0982370337581284,10.901349614968417
50000.21215561005,2.0197199757392177,-2.5495922871084096,10.810839046014955
100000.43659989303,2.0199636877084934,-5.012971717384293,10.66099440389292
61.76717251540131,2.0324434085313046,4.787153980313488,0.004401694997508898
66.36662552338855,1.897332096056183,1.8179702693935218,0.003177036984198937
64.69527600073904,2.0693476328183156,-7.213688899617181,0.0038351366820227606
69.30628252086899,2.036984759217974,1.5393250382749575,0.005151828702974036
66.20253272273992,1.9832621054254853,-1.8568400171366288,0.004493538841569133
60.13087930678788,2.1685755776312905,-6.755859971191552,0.00492686500979107
62.95859173445013,1.9534057784948688,-4.682595495189518,0.005378491009906468
66.37723272718078,1.771441858340474,-0.6057020666126988,0.003949522960166523
68.01700137437298,1.705688529402384,0.49055953814862446,0.0038873726433622836
64.37622333245311,1.726345181618132,-0.971090356999653,0.004021965660274264
66.47906658161618,1.97075033806291,-3.7066550355353174,0.0035585109753424483
64.48781373707716,1.8905020564286312,-7.514123997903625,0.003131213626656185
