t_s,i_amps,setpoint_amps
0.0,-0.00762939453125,-0.00762939453125
1.024e-06,-0.0152587890625,-0.00762939453125
2.048e-06,-0.00762939453125,-0.00762939453125
3.072e-06,-0.00762939453125,-0.00762939453125
4.096e-06,-0.00762939453125,-0.00762939453125
5.12e-06,0.0,-0.00762939453125
6.144e-06,-0.0152587890625,-0.00762939453125
7.168e-06,-0.00762939453125,-0.00762939453125
8.192e-06,0.0,0.0
9.216e-06,0.0,-0.00762939453125
1.024e-05,-0.00762939453125,-0.00762939453125
1.1264e-05,0.0,-0.00762939453125
1.2288e-05,0.0,-0.00762939453125
1.3312e-05,0.0,-0.00762939453125
1.4336e-05,0.0,-0.00762939453125
1.536e-05,0.0,-0.00762939453125
1.6384e-05,-0.0152587890625,-0.00762939453125
1.7408e-05,-0.00762939453125,-0.00762939453125
1.8432e-05,-0.00762939453125,-0.00762939453125
1.9456e-05,-0.00762939453125,-0.00762939453125
2.048e-05,0.0152587890625,-0.00762939453125
2.1504e-05,-0.02288818359375,-0.00762939453125
2.2528e-05,0.0152587890625,-0.00762939453125
2.3552e-05,-0.02288818359375,-0.00762939453125
2.4576e-05,0.0152587890625,-0.00762939453125
2.56e-05,-0.0152587890625,-0.00762939453125
2.6624e-05,0.00762939453125,-0.00762939453125
2.7648e-05,0.0,-0.00762939453125
2.8672e-05,0.00762939453125,-0.00762939453125
2.9696e-05,0.0,-0.00762939453125
3.072e-05,-0.00762939453125,-0.00762939453125
3.1744e-05,-0.00762939453125,-0.00762939453125
3.2768e-05,-0.00762939453125,-0.00762939453125
3.3792e-05,0.0,-0.00762939453125
3.4816e-05,0.0,-0.00762939453125
3.584e-05,0.0,-0.00762939453125
3.6864e-05,0.0,-0.00762939453125
3.7888e-05,-0.00762939453125,-0.00762939453125
3.8912e-05,0.00762939453125,-0.00762939453125
3.9936e-05,0.0,-0.00762939453125
4.096e-05,0.0,-0.00762939453125
4.1984e-05,0.02288818359375,-0.00762939453125
4.3008e-05,-0.02288818359375,-0.00762939453125
4.4032e-05,0.0152587890625,-0.00762939453125
4.5056e-05,-0.02288818359375,-0.00762939453125
4.608e-05,-0.0152587890625,-0.00762939453125
4.7104e-05,-0.0152587890625,-0.00762939453125
4.8128e-05,-0.0152587890625,-0.00762939453125
4.9152e-05,-0.00762939453125,-0.00762939453125
5.0176e-05,0.0,-0.00762939453125
5.12e-05,0.0,-0.00762939453125
5.2224e-05,0.0,-0.00762939453125
5.3248e-05,0.0,-0.00762939453125
5.4272e-05,0.00762939453125,-0.00762939453125
5.5296e-05,-0.02288818359375,-0.00762939453125
5.632e-05,0.02288818359375,-0.00762939453125
5.7344e-05,-0.00762939453125,-0.00762939453125
5.8368e-05,0.0,-0.00762939453125
5.9392e-05,0.0,-0.00762939453125
6.0416e-05,0.00762939453125,-0.00762939453125
6.144e-05,-0.030517578125,-0.00762939453125
6.2464e-05,0.00762939453125,-0.00762939453125
6.3488e-05,-0.0152587890625,-0.00762939453125
6.4512e-05,-0.00762939453125,-0.00762939453125
6.5536e-05,0.0,-0.00762939453125
6.656e-05,-0.0152587890625,-0.00762939453125
6.7584e-05,0.0,-0.00762939453125
6.8608e-05,0.0,-0.00762939453125
6.9632e-05,0.00762939453125,-0.00762939453125
7.0656e-05,0.0152587890625,-0.00762939453125
7.168e-05,-0.02288818359375,-0.00762939453125
7.2704e-05,0.00762939453125,-0.00762939453125
7.3728e-05,0.0152587890625,-0.00762939453125
7.4752e-05,-0.00762939453125,-0.00762939453125
7.5776e-05,0.0,-0.00762939453125
7.68e-05,-0.02288818359375,-0.00762939453125
7.7824e-05,-0.0152587890625,-0.00762939453125
7.8848e-05,-0.00762939453125,-0.00762939453125
7.9872e-05,-0.0152587890625,-0.00762939453125
8.0896e-05,0.0,-0.00762939453125
8.192e-05,0.0,-0.00762939453125
8.2944e-05,0.0152587890625,-0.00762939453125
8.3968e-05,-0.02288818359375,-0.00762939453125
8.4992e-05,0.02288818359375,-0.00762939453125
8.6016e-05,-0.02288818359375,-0.00762939453125
8.704e-05,0.0152587890625,-0.00762939453125
8.8064e-05,-0.00762939453125,-0.00762939453125
8.9088e-05,0.00762939453125,-0.00762939453125
9.0112e-05,0.00762939453125,-0.00762939453125
9.1136e-05,-0.0152587890625,-0.00762939453125
9.216e-05,0.0152587890625,-0.00762939453125
9.3184e-05,-0.030517578125,-0.00762939453125
9.4208e-05,0.0152587890625,-0.00762939453125
